 unit--timestamp[ms];bma280_x[mg];bma280_y[mg];bma280_z[mg];bmg160_x[mDeg];bmg160_y[mDeg];bmg160_z[mDeg];bmi160_a_x[mg];bmi160_a_y[mg];bmi160_a_z[mg];bmi160_g_x[mDeg];bmi160_g_y[mDeg];bmi160_g_z[mDeg];
12490;859;64;554;-183;-305;854;836;57;601;-1220;-732;366;
12500;857;66;556;-549;-61;488;835;60;602;-1525;-488;61;
12510;861;62;558;-610;-366;183;831;60;607;-1525;-549;-427;
12520;857;68;554;-549;-244;-183;833;60;607;-1464;-610;-671;
12530;857;70;554;-366;-244;-427;829;63;607;-1403;-610;-915;
12540;865;72;562;-488;-671;-366;827;69;605;-1220;-915;-793;
12550;861;72;552;-61;-610;122;828;70;604;-915;-976;-366;
12560;857;72;562;671;-732;549;829;71;608;-305;-854;0;
12570;855;68;558;1037;-427;488;831;65;601;244;-549;-61;
12580;865;60;550;1281;-61;0;831;64;602;427;-244;-427;
12590;863;76;550;1281;61;-244;828;67;602;488;-244;-732;
12600;859;74;546;976;-366;-244;829;67;596;122;-488;-732;
12610;857;72;554;427;366;-427;830;63;600;-549;61;-854;
12620;863;66;548;427;366;-427;830;63;600;-549;61;-854;
12630;853;70;552;793;366;-427;830;65;599;0;183;-854;
12640;859;64;552;1159;610;-61;828;68;598;244;427;-671;
12650;861;68;542;1159;671;244;829;68;597;305;427;-305;
12660;863;66;550;1159;610;671;830;67;595;61;305;244;
12670;865;66;556;915;244;915;835;64;598;-244;0;427;
12680;863;66;554;732;488;793;835;64;598;-122;122;305;
12690;871;62;550;1098;671;610;834;61;604;305;366;61;
12700;867;62;550;1159;610;122;834;61;603;366;732;-427;
12710;871;62;552;854;976;-366;836;59;598;366;732;-427;
12720;857;66;548;610;1220;-732;834;62;605;-366;793;-1220;
12730;853;72;544;610;793;-793;834;62;605;-366;793;-1220;
12740;857;68;544;427;976;-488;827;63;599;-183;427;-1342;
12750;849;68;556;-122;1098;-427;833;69;595;-549;671;-976;
12760;857;72;554;122;793;-427;830;67;603;-1098;854;-915;
12770;849;72;548;305;793;-366;828;67;604;-732;549;-976;
12780;855;62;542;305;732;-305;828;65;594;-549;488;-793;
12790;857;64;554;244;1037;0;833;62;604;-732;610;-488;
12800;863;64;550;244;1037;0;833;62;604;-732;610;-488;
12810;857;62;556;671;793;-244;833;62;604;-732;610;-488;
12820;861;64;550;732;488;-305;833;64;605;-122;549;-732;
12830;867;68;558;671;244;-61;830;65;600;0;305;-671;
12840;861;62;554;549;122;183;837;60;600;-305;61;-427;
12850;869;58;554;549;366;-183;837;60;600;-305;61;-427;
12860;861;72;552;122;549;-854;834;57;594;-488;0;-854;
12870;857;78;550;-61;854;-1220;831;61;598;-915;366;-1586;
12880;851;83;546;244;671;-1037;827;71;603;-915;732;-1647;
12890;851;82;546;427;305;-488;826;77;599;-671;305;-1281;
12900;853;78;550;549;854;122;821;79;594;-366;732;-244;
12910;857;72;548;305;1037;488;821;79;594;-366;732;-244;
12920;857;76;548;305;976;793;825;74;596;-732;915;183;
12930;867;68;546;122;1464;732;827;68;598;-793;854;427;
12940;865;64;554;244;1770;122;834;64;596;-854;1220;122;
12950;859;68;558;305;1708;-305;834;62;605;-732;1525;-549;
12960;863;72;552;671;1770;-366;831;70;607;-122;1403;-732;
12970;863;66;558;122;1403;305;826;70;602;-488;1281;-305;
12980;859;68;558;122;1403;305;826;65;607;-1220;732;122;
12990;857;68;558;-488;793;793;826;65;607;-1220;732;122;
13000;857;60;560;-915;366;976;830;62;608;-1770;183;488;
13010;857;58;558;-915;305;610;833;59;606;-1953;0;366;
13020;853;66;560;-732;427;244;832;58;607;-1220;366;-488;
13030;859;62;552;-305;549;-122;832;58;607;-1220;366;-488;
13040;853;68;558;-366;244;-122;830;63;603;-1037;183;-610;
13050;869;68;552;-244;183;305;829;65;604;-1281;61;-488;
13060;859;64;548;-244;366;244;831;64;604;-1220;183;-183;
13070;855;68;550;61;793;183;832;62;602;-915;488;-122;
13080;867;60;552;610;732;61;831;61;606;-183;610;-610;
13090;853;64;546;366;915;-183;832;64;601;-183;610;-610;
13100;853;70;542;-183;976;-610;830;63;597;-793;610;-1159;
13110;847;72;560;-549;1098;-610;827;67;598;-1525;854;-1220;
13120;863;72;560;-854;793;-488;823;70;603;-1892;793;-1037;
13130;849;68;558;-610;488;-305;825;73;605;-1708;122;-854;
13140;851;76;558;-122;549;-183;825;71;604;-793;671;-610;
13150;847;72;562;0;793;61;824;72;610;-793;671;-549;
13160;857;68;550;-183;488;366;826;68;607;-1281;-244;122;
13170;863;60;542;-244;61;793;831;62;598;-854;-122;488;
13180;867;50;552;61;-122;976;830;55;599;-793;-61;305;
13190;867;50;550;122;0;671;830;55;599;-793;-61;305;
13200;867;54;550;122;0;671;830;55;599;-793;-61;305;
13210;863;56;552;122;0;671;830;55;599;-793;-61;305;
13220;869;60;548;305;61;-61;835;53;598;-610;-61;-305;
13230;863;60;548;122;183;-793;839;55;595;-732;-61;-1159;
13240;849;60;552;-549;122;-1831;836;59;594;-1403;-122;-2319;
13250;853;80;552;-854;-61;-2197;824;62;601;-1892;-427;-2685;
13260;843;76;556;-549;-244;-1403;824;73;602;-1525;-610;-2136;
13270;839;54;556;-488;-427;-793;821;70;603;-1342;-793;-1342;
13280;828;13;523;-122;-1159;-549;808;51;607;-854;-1342;-976;
13290;769;7;494;-2014;-3906;-610;790;27;579;-2014;-3601;-1098;
13300;730;7;535;-9521;-11779;244;722;20;563;-9704;-10864;-793;
13310;738;27;562;-15869;-18310;7690;703;34;579;-16906;-19104;5676;
13320;921;140;472;-18310;-17333;17883;756;68;565;-20080;-18615;17089;
13330;957;58;607;-31127;6347;19287;923;78;582;-33691;6408;19714;
13340;968;41;632;-31127;6347;19287;923;78;582;-33691;6408;19714;
13350;970;35;626;-25512;12145;12329;931;21;678;-28686;12512;11962;
13360;949;25;597;-15319;14953;2502;938;3;667;-16296;15014;2197;
13370;917;54;564;-10986;15747;-7751;910;17;637;-11230;15625;-8728;
13380;894;70;541;-13427;13671;-14038;882;59;615;-14526;13183;-15197;
13390;884;50;548;-20629;9155;-16601;872;60;605;-22705;8300;-17517;
13400;869;66;539;-25878;5310;-19409;861;42;596;-28259;4028;-19897;
13410;865;78;535;-29479;3662;-21972;840;62;583;-31494;2990;-22705;
13420;873;99;564;-30822;4638;-24047;837;80;598;-33081;3845;-24780;
13430;886;87;580;-29296;4394;-24597;848;95;622;-31005;3723;-25268;
13440;847;97;605;-24719;4333;-24414;851;84;649;-26123;3723;-24841;
13450;775;144;578;-3845;10925;-19958;754;161;616;-3234;11169;-20080;
13460;800;115;572;-3845;10925;-19958;754;161;616;-3234;11169;-20080;
13470;810;103;574;4028;14831;-8972;764;150;608;4455;15258;-7690;
13480;1074;119;451;9277;17456;-671;817;82;632;9338;17395;793;
13490;785;-29;609;12451;21545;1037;806;-3;644;11962;21301;1037;
